"County","Sector","2018","2017","2016","Total Usage"
"ALAMEDA","Residential","    2951.870114","    2997.541830","    2923.672818","    8873.084762"
"ALPINE","Residential","       9.420910","       9.951697","       9.290913","      28.663520"
"AMADOR","Residential","     137.506340","     143.907989","     135.803182","     417.217511"
"BUTTE","Residential","     722.508276","     764.882232","     725.718157","    2213.108665"
"CALAVERAS","Residential","     202.779767","     215.147744","     198.752467","     616.679978"
"COLUSA","Residential","      65.824078","      68.631324","      64.983202","     199.438604"
"CONTRA COSTA","Residential","    2814.796953","    2898.220795","    2764.370282","    8477.388030"
"DEL NORTE","Residential","     113.694574","     122.407324","     112.179574","     348.281472"
"EL DORADO","Residential","     748.960579","     778.976893","     753.591907","    2281.529379"
"FRESNO","Residential","    2744.267090","    2795.322271","    2662.644724","    8202.234085"
"GLENN","Residential","      92.525338","      96.037645","      91.076379","     279.639362"
"HUMBOLDT","Residential","     372.140643","     396.102388","     399.105809","    1167.348840"
"IMPERIAL","Residential","     624.915454","     618.989015","     543.159545","    1787.064014"
"INYO","Residential","      60.013788","      60.465891","      62.807670","     183.287349"
"KERN","Residential","    2381.833089","    2367.305093","    2264.619505","    7013.757687"
"KINGS","Residential","     385.064870","     388.117259","     365.334662","    1138.516791"
"LAKE","Residential","     280.210793","     295.650605","     282.515074","     858.376472"
"LASSEN","Residential","     100.540875","     102.100052","      99.557021","     302.197948"
"LOS ANGELES","Residential","   21044.973883","   21161.883154","   20330.149542","   62537.006579"
"MADERA","Residential","     430.174209","     439.972641","     421.339277","    1291.486127"
"MARIN","Residential","     649.081843","     660.364610","     653.070849","    1962.517302"
"MARIPOSA","Residential","      69.125082","      71.144581","      69.065553","     209.335216"
"MENDOCINO","Residential","     289.692501","     305.907701","     300.893534","     896.493736"
"MERCED","Residential","     713.735030","     737.960161","     702.848973","    2154.544164"
"MODOC","Residential","      57.040549","      59.283970","      56.581161","     172.905680"
"MONO","Residential","      88.036095","      93.967869","      84.789601","     266.793565"
"MONTEREY","Residential","     683.100426","     684.941097","     688.808586","    2056.850109"
"NAPA","Residential","     360.684502","     370.667312","     361.181776","    1092.533590"
"NEVADA","Residential","     447.415873","     471.825704","     433.918557","    1353.160134"
"ORANGE","Residential","    7035.763296","    6977.074253","    6660.559695","   20673.397244"
"PLACER","Residential","    1414.502822","    1468.406464","    1402.455219","    4285.364505"
"PLUMAS","Residential","      93.456942","      98.847417","      97.073836","     289.378195"
"RIVERSIDE","Residential","    7960.740053","    7882.366816","    7196.655488","   23039.762357"
"SACRAMENTO","Residential","    4713.027288","    5159.476989","    4794.486673","   14666.990950"
"SAN BENITO","Residential","     124.535133","     123.998455","     119.136813","     367.670401"
"SAN BERNARDINO","Residential","    5443.731723","    5409.197320","    4997.544199","   15850.473242"
"SAN DIEGO","Residential","    6942.482091","    6943.212614","    6772.676145","   20658.370850"
"SAN FRANCISCO","Residential","    1462.547442","    1481.530714","    1464.760679","    4408.838835"
"SAN JOAQUIN","Residential","    1816.394980","    1867.977902","    1758.859069","    5443.231951"
"SAN LUIS OBISPO","Residential","     644.755402","     652.719072","     637.356382","    1934.830856"
"SAN MATEO","Residential","    1510.175756","    1523.215025","    1499.876504","    4533.267285"
"SANTA BARBARA","Residential","     777.567635","     782.974317","     759.849738","    2320.391690"
"SANTA CLARA","Residential","    3860.162566","    3967.457317","    3812.264730","   11639.884613"
"SANTA CRUZ","Residential","     545.640645","     554.763323","     557.507305","    1657.911273"
"SHASTA","Residential","     751.394327","     767.877015","     744.103124","    2263.374466"
"SIERRA","Residential","      13.112669","      13.513412","      15.665689","      42.291770"
"SISKIYOU","Residential","     218.351960","     231.776583","     217.789987","     667.918530"
"SOLANO","Residential","    1033.373840","    1074.495749","    1020.842473","    3128.712062"
"SONOMA","Residential","    1257.531575","    1328.431524","    1302.969060","    3888.932159"
"STANISLAUS","Residential","    1808.538456","    1847.966228","    1725.488195","    5381.992879"
"SUTTER","Residential","     278.258196","     291.868371","     274.543176","     844.669743"
"TEHAMA","Residential","     231.841687","     240.327143","     229.926634","     702.095464"
"TRINITY","Residential","      10.236257","      11.632714","      10.999486","      32.868457"
"TULARE","Residential","    1312.968416","    1327.611554","    1221.377175","    3861.957145"
"TUOLUMNE","Residential","     208.530869","     217.079235","     209.324561","     634.934665"
"VENTURA","Residential","    1882.782179","    1908.202371","    1785.210931","    5576.195481"
"YOLO","Residential","     514.741442","     537.954244","     508.110689","    1560.806375"
"YUBA","Residential","     220.066702","     229.260629","     215.090257","     664.417588"
