"County","Sector","2018","Total Usage"
"ALAMEDA","Non-Residential","    7465.239633","    7465.239633"
"ALAMEDA","Residential","    2951.870114","    2951.870114"
"ALAMEDA","Total","   10417.109747","   10417.109747"
"ALPINE","Non-Residential","       9.283298","       9.283298"
"ALPINE","Residential","       9.420910","       9.420910"
"ALPINE","Total","      18.704208","      18.704208"
"AMADOR","Non-Residential","     163.013446","     163.013446"
"AMADOR","Residential","     137.506340","     137.506340"
"AMADOR","Total","     300.519785","     300.519785"
"BUTTE","Non-Residential","     756.702499","     756.702499"
"BUTTE","Residential","     722.508276","     722.508276"
"BUTTE","Total","    1479.210775","    1479.210775"
"CALAVERAS","Non-Residential","     129.666054","     129.666054"
"CALAVERAS","Residential","     202.779767","     202.779767"
"CALAVERAS","Total","     332.445821","     332.445821"
"COLUSA","Non-Residential","     235.372158","     235.372158"
"COLUSA","Residential","      65.824078","      65.824078"
"COLUSA","Total","     301.196236","     301.196236"
"CONTRA COSTA","Non-Residential","    6495.669665","    6495.669665"
"CONTRA COSTA","Residential","    2814.796953","    2814.796953"
"CONTRA COSTA","Total","    9310.466618","    9310.466618"
"DEL NORTE","Non-Residential","      92.114024","      92.114024"
"DEL NORTE","Residential","     113.694574","     113.694574"
"DEL NORTE","Total","     205.808598","     205.808598"
"EL DORADO","Non-Residential","     469.656521","     469.656521"
"EL DORADO","Residential","     748.960579","     748.960579"
"EL DORADO","Total","    1218.617099","    1218.617099"
"FRESNO","Non-Residential","    4907.627753","    4907.627753"
"FRESNO","Residential","    2744.267090","    2744.267090"
"FRESNO","Total","    7651.894842","    7651.894842"
"GLENN","Non-Residential","     314.935292","     314.935292"
"GLENN","Residential","      92.525338","      92.525338"
"GLENN","Total","     407.460629","     407.460629"
"HUMBOLDT","Non-Residential","     428.789637","     428.789637"
"HUMBOLDT","Residential","     372.140643","     372.140643"
"HUMBOLDT","Total","     800.930280","     800.930280"
"IMPERIAL","Non-Residential","     802.778798","     802.778798"
"IMPERIAL","Residential","     624.915454","     624.915454"
"IMPERIAL","Total","    1427.694252","    1427.694252"
"INYO","Non-Residential","     151.167416","     151.167416"
"INYO","Residential","      60.013788","      60.013788"
"INYO","Total","     211.181204","     211.181204"
"KERN","Non-Residential","   13560.561999","   13560.561999"
"KERN","Residential","    2381.833089","    2381.833089"
"KERN","Total","   15942.395088","   15942.395088"
"KINGS","Non-Residential","    1400.775576","    1400.775576"
"KINGS","Residential","     385.064870","     385.064870"
"KINGS","Total","    1785.840446","    1785.840446"
"LAKE","Non-Residential","     162.317504","     162.317504"
"LAKE","Residential","     280.210793","     280.210793"
"LAKE","Total","     442.528296","     442.528296"
"LASSEN","Non-Residential","     309.202996","     309.202996"
"LASSEN","Residential","     100.540875","     100.540875"
"LASSEN","Total","     409.743871","     409.743871"
"LOS ANGELES","Non-Residential","   47441.213221","   47441.213221"
"LOS ANGELES","Residential","   21044.973883","   21044.973883"
"LOS ANGELES","Total","   68486.187103","   68486.187103"
"MADERA","Non-Residential","    1235.398393","    1235.398393"
"MADERA","Residential","     430.174209","     430.174209"
"MADERA","Total","    1665.572602","    1665.572602"
"MARIN","Non-Residential","     680.105725","     680.105725"
